Time: 969.7533316612244
         906194041 function calls (896892143 primitive calls) in 1000.890 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.428    1.428 1000.892 1000.892 1 - Population Density.py:1(<module>)
   615008    7.379    0.000  159.280    0.000 1 - Population Density.py:20(sumna)
        2    0.021    0.011  931.709  465.855 1 - Population Density.py:24(popbuff)
        1    0.000    0.000    0.000    0.000 1 - Population Density.py:46(<listcomp>)
        1    0.000    0.000    0.000    0.000 :1(<module>)
        1    0.000    0.000    0.000    0.000 :1(GDALVersionAttributes)
        1    0.000    0.000    0.000    0.000 :1(ParsedPathAttributes)
        1    0.000    0.000    0.000    0.000 :1(UnparsedPathAttributes)
        1    0.000    0.000    0.000    0.000 :1(VersionInfoAttributes)
        1    0.000    0.000    0.000    0.000 :1(WindowAttributes)
        1    0.000    0.000    0.000    0.000 :1(_AndValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_AttributesAttributes)
        1    0.000    0.000    0.000    0.000 :1(_DeepIterableAttributes)
        1    0.000    0.000    0.000    0.000 :1(_DeepMappingAttributes)
        1    0.000    0.000    0.000    0.000 :1(_InValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_InstanceOfValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_IsCallableValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_MatchesReValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_OptionalValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_ProvidesValidatorAttributes)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
   615008    0.547    0.000    9.301    0.000 <__array_function__ internals>:2(array_equal)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
       13    0.000    0.000    0.007    0.001 <__array_function__ internals>:2(concatenate)
  1634952    1.606    0.000    6.472    0.000 <__array_function__ internals>:2(copyto)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(in1d)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(insert)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(moveaxis)
        8    0.000    0.000    0.005    0.001 <__array_function__ internals>:2(nanmax)
        8    0.000    0.000    0.006    0.001 <__array_function__ internals>:2(nanmin)
   615008    0.592    0.000   80.582    0.000 <__array_function__ internals>:2(nansum)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(setdiff1d)
   615008    0.597    0.000    4.008    0.000 <__array_function__ internals>:2(shape)
   615008    0.647    0.000   22.342    0.000 <__array_function__ internals>:2(sum)
        3    0.000    0.000    0.007    0.002 <__array_function__ internals>:2(vstack)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr._make.Attribute>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr._make.Factory>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr._make._AndValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr._make._CountingAttr>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._DeepIterable>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._DeepMapping>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._InValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._InstanceOfValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._IsCallableValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._MatchesReValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._OptionalValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._ProvidesValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq fiona.env.GDALVersion>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq fiona.path.ParsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq fiona.path.UnparsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq rasterio.env.GDALVersion>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq rasterio.path.ParsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq rasterio.path.UnparsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq rasterio.windows.Window>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr._make.Attribute>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr._make.Factory>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr._make._AndValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._DeepIterable>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr.validators._DeepMapping>:1(<module>)
